old,new,source
A8MUW5,Q52LJ0,RHD+13
Q59FE8,Q9UHB6,RHD+13
Q53Y44,P07737,RHD+13
Q71TU5,P48729,RHD+13
Q5T7J1,P09914,RHD+13
Q9UGP6,O14579,RHD+13
B4DG11,Q9NZL4,RHD+13
Q2TU77,P50502,RHD+13
Q6I9T3,P51648,RHD+13
Q4LE54,Q13492,RHD+13
Q38G75,Q14376,RHD+13
B4DZL7,Q9NX02,RHD+13
A8K5X9,Q9Y4C8,RHD+13
Q5TZX1,P08754,RHD+13
Q53ZP6,P06132,RHD+13
Q59ED2,O00469,RHD+13
Q2HJ14,Q9Y6K5,RHD+13;DYL+14
Q5SUJ3,P62269,RHD+13;DYL+14
Q68DF1,O75534,RHD+13
Q7Z3D1,P62847,RHD+13
B4DG05,Q9UBB4,RHD+13
B3KWD7,P56945,RHD+13
Q6ZRJ8,Q13596,RHD+13
B4DLZ5,Q9UJ70,RHD+13
C9JWM7,P59998,RHD+13
B4DSZ4,P68036,RHD+13
Q53HQ8,P28799,RHD+13
B7Z3P1,Q15813,RHD+13
Q6FGN3,P31431,RHD+13
B3KRK5,P42785,RHD+13
B3KNH3,Q8IWA5,RHD+13
Q3HY28,P23219,RHD+13
B4DUX5,P50579,RHD+13
Q6IBR6,P68402,RHD+13
B4DDV0,Q04760,RHD+13
B1AK40,Q6P587,RHD+13
Q5JNW4,P28065,RHD+13
Q96NY6,P09668,RHD+13
B2R6Z2,Q9UBM7,RHD+13
B4DKA3,Q9UBC2,RHD+13
Q6Q3G8,P13473,RHD+13
Q6VU67,Q16787,RHD+13
B7Z3Q9,O95834,RHD+13
Q8N1F0,P16298,RHD+13
Q659B7,O00499,RHD+13
Q596K9,P63313,RHD+13
Q9BS35,P60983,RHD+13
Q5VUF1,O95999,RHD+13
Q6IB33,O75348,RHD+13
Q8WTW0,P49458,RHD+13
B7Z7I3,Q9NXW2,RHD+13
Q5T4L6,P42677,RHD+13
B7Z7A0,P09455,RHD+13
B4DY38,Q9NP64,RHD+13
Q60FE2,P35579,DYL+14
Q99968,P12270,DYL+14
B7TY16,P12814,DYL+14
D2K8Q1,Q9NVI7,DYL+14
A8K485,Q13435,DYL+14
B4DVB8,Q15717,DYL+14
B4DRB8,Q9NXE4,DYL+14
Q4LE47,P49790,DYL+14
Q53GY4,P54136,DYL+14
Q53QM2,P61158,DYL+14
B4DRJ2,Q9BZZ5,DYL+14
Q57Z92,P62081,DYL+14
Q8N1A4,Q01970,DYL+14
Q14CV6,Q8N884,DYL+14
A8K402,P78371,DYL+14
B4DYH1,Q92598,DYL+14
Q59HD4,Q15366,DYL+14
Q53H27,Q13148,DYL+14
B4DV56,Q92925,DYL+14
Q96MX4,Q01844,DYL+14
Q68D00,P42224,DYL+14
B4DT67,Q9NUQ6,DYL+14
Q5T0P8,P62847,DYL+14
Q17S11,Q12824,DYL+14
B1Q2X3,P21675,DYL+14
B4DT11,P49848,DYL+14
A8K1B6,P50570,DYL+14
Q5U0C0,P61313,DYL+14
C9JLK5,O43324,DYL+14
B4E1S7,Q12904,DYL+14
Q8IZ68,O75431,DYL+14
Q8IWE6,Q05519,DYL+14
B7Z4S9,P41223,DYL+14
C7G533,Q96GD4,DYL+14
Q53QM0,P19447,DYL+14
Q75MJ1,Q9UG63,DYL+14
Q5J9I4,P29372,DYL+14
Q59GY4,Q13952,DYL+14
Q59GW8,P31040,DYL+14
Q86TM9,P22303,CCC+12
Q9UC36,P04792,CCC+12
Q9NZS5,P21127,CCC+12
Q96IK2,P09493,CCC+12
Q7M4R4,P62258,CCCC13
Q6NUR9,P63104,CCCC13
Q96Q81,P33316,CCCC13
Q96T33,P35240,CCCC13
Q9UL56,P00387,CCCC13
Q9NSP6,Q9BY77,CCCC13
Q9UQ19,Q5R372,CCCC13
Q8N850,P08670,CCCC13
Q3TIB8,Q9WVA4,WCM+09
A2AM68,Q3TEA8,WCM+09
Q499M3,Q6P1D5,WCM+09
A2ALM8,Q61335,WCM+09
A2AMZ5,Q5I012,WCM+09
Q8BJL4,Q9DBH5,WCM+09
P60953-2,P60953,OBBH11
Q92841-4,Q92841,OBBH11
P50839,P0CI74,HMO+10
P71069,C0SPA7,HMO+10
P45928,P45927,HMO+10
P42975,P0CI75,HMO+10
O31426,O31425,HMO+10
P14383,P0CI77,HMO+10
O07519,O07518,HMO+10
O31471,P96712,HMO+10
P39754,P0CI73,HMO+10
P96691,C0SP78,HMO+10
O30512,C0SPB8,HMO+10
O34665,C0SP84,HMO+10
O34587,C0SPA0,HMO+10
O34625,C0SPB9,HMO+10
P71075,C0SPB1,HMO+10
Q08360,C0SPB1,HMO+10
A2BFH1,P0DN37,LMM16
A2BFH1,A0A0B4J2A2,LMM16
A4D104,C9J7I0,LMM16
A6NFL8,A6NEM1,LMM16
A6NP22,Q02505,LMM16
Q15614,Q6IF36,LMM16
Q15614,P0DMU2,LMM16
Q4VX67,Q8IWB4,LMM16
Q5RGS2,Q5TZJ5,LMM16
Q5SXJ2,Q8N660,LMM16
Q5T2P8,P13928,LMM16
Q6NSH3,P0DMU8,LMM16
Q6NSH3,P0DMU9,LMM16
A6PW82,Q6ZTR5,LMM16
Q8N9S7,Q6ZTR5,LMM16
Q8TAD1,Q9NY87,LMM16
